benchmark,locations,transitions,assignments,distance
coffee,4,7,4,11.0,[78.0, 9545.0, 99.18281822943949]
carAlarmSystem,15,25,3,12.0,[249.0, 1580.0, 84.24050632911393]
runningExample,4,4,3,2.0,[1.0, 60.0, 98.33333333333333]
runningExampleAlt,4,4,3,7.0,[3.0, 234.0, 98.71794871794873]
